Age,Gender,Marital Status,"How many children do you have, if any?",Education Level,Employment Status,Monthly Household Income,Did you vote in the previous election?,"If you didn't vote, what was the reason?",Would you be willing to vote in the next election?,How interested are you in politics?,How do you get your news and information about politics?/Other,"If other, specify.",Key Issues Summary,News Sources Summary
50-59,Male,Married,1.0,Tertiary,Employed,60k+,Yes,No reason provided,Very likely,Slightly interested,0.0,Not specified,Education Healthcare Taxes; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media Print Newspapers Radio; 1.0; 1.0; 1.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Social Justice/Equality Other ; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
30-39,Female,Married,3.0,Secondary,Unemployed,10001-20000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Education Jobs/Employment; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
30-39,Male,Married,2.0,Secondary,Self-employed, 20001-30000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Education Jobs/Employment Taxes; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
30-39,Male,Married,2.0,Secondary,Unemployed,Less than 10000,Yes,No reason provided,Not sure,Not at all Interested,1.0,People,Healthcare Taxes; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,Other  Radio; 0.0; 0.0; 0.0; 0.0; 1.0
20-29,Female,Married,3.0,Secondary,Self-employed, 20001-30000,No,Other,Likely,Slightly interested,0.0,Not specified,Jobs/Employment Education Taxes; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
40-49,Male,Married,2.0,Tertiary,Employed,60k+,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Education Jobs/Employment Taxes; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Radio Social Media Print Newspapers; 1.0; 1.0; 1.0; 0.0; 1.0
60,Male,Widowed,5.0,Primary,Unemployed,10001-20000,No,Other,Not sure,Interested,0.0,Not specified,Healthcare Crime and Safety Social Justice/Equality; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
30-39,Female,Married,2.0,Secondary,Self-employed, 20001-30000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Education Taxes Other ; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0,TV News Radio Social Media; 1.0; 1.0; 0.0; 0.0; 1.0
30-39,Female,Married,1.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
40-49,Female,Married,5.0,Secondary,Self-employed,Less than 10000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Taxes Social Justice/Equality; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Secondary,Student,Less than 10000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Taxes Social Justice/Equality; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
60,Male,Married,6.0,Tertiary,Employed,60k+,No,Other,Very Unlikely,Not at all Interested,0.0,Not specified,Education Healthcare Jobs/Employment Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
<20,Female,Single,0.0,Secondary,Student,Less than 10000,No,Other,Likely,Very Interested,0.0,Not specified,Education Healthcare Taxes; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media Print Newspapers Radio Online News Websites; 1.0; 1.0; 1.0; 1.0; 1.0
40-49,Female,Widowed,3.0,Tertiary,Employed, 40001-50000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Social Justice/Equality Taxes Affordable Housing Crime and Safety Transportation/Infrastructure; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
30-39,Male,Married,2.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Taxes Social Justice/Equality; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
40-49,Male,Divorced,5.0,Tertiary,Employed, 40001-50000,Yes,No reason provided,Likely,Interested,1.0,Magazine ,Education Healthcare Jobs/Employment Social Justice/Equality Crime and Safety Affordable Housing Environment/Climate Change Transportation/Infrastructure Taxes; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,Social Media TV News Print Newspapers Online News Websites Radio Other ; 1.0; 1.0; 1.0; 1.0; 1.0
<20,Female,Single,0.0,Secondary,Student,Less than 10000,No,No reason provided,Likely,Interested,0.0,Not specified,Education Jobs/Employment Social Justice/Equality Taxes; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
50-59,Male,Married,6.0,Tertiary,Employed,60k+,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Healthcare Jobs/Employment Education Affordable Housing Crime and Safety Environment/Climate Change Transportation/Infrastructure Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
50-59,Female,Married,3.0,Tertiary,Unemployed,10001-20000,Yes,No reason provided,Not sure,Slightly interested,0.0,Not specified,Jobs/Employment Healthcare Education Crime and Safety; 1.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media TV News; 1.0; 1.0; 0.0; 0.0; 0.0
50-59,Female,Divorced,3.0,Secondary,Self-employed, 20001-30000,No,I didn't have time,Not sure,Slightly interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Environment/Climate Change; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
20-29,Female,Married,0.0,Tertiary,Unemployed,60k+,No,I didn't think my vote would make a difference,Likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment Crime and Safety Affordable Housing Transportation/Infrastructure Environment/Climate Change Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,Social Media Online News Websites; 0.0; 1.0; 0.0; 1.0; 0.0
20-29,Male,Married,0.0,Tertiary,Self-employed,60k+,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety Transportation/Infrastructure Environment/Climate Change Taxes Social Justice/Equality Other ; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0,Social Media Online News Websites TV News; 1.0; 1.0; 0.0; 1.0; 0.0
30-39,Male,Married,2.0,Tertiary,Employed,10001-20000,Yes,No reason provided,Likely,Not at all Interested,0.0,Not specified,Education Healthcare Crime and Safety Taxes; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
40-49,Female,Married,6.0,Tertiary,Unemployed, 40001-50000,No,I didn't have time,Likely,Slightly interested,0.0,Not specified,Education Healthcare Crime and Safety Transportation/Infrastructure; 1.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
30-39,Female,Married,2.0,Tertiary,Unemployed, 40001-50000,No,I didn't think my vote would make a difference,Likely,Not at all Interested,0.0,Not specified,Education Crime and Safety Healthcare Transportation/Infrastructure Social Justice/Equality Taxes; 1.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0,Radio TV News; 1.0; 0.0; 0.0; 0.0; 1.0
30-39,Female,Single,0.0,Tertiary,Unemployed,10001-20000,Yes,No reason provided,Not sure,Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety Transportation/Infrastructure; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0,Radio TV News Social Media; 1.0; 1.0; 0.0; 0.0; 1.0
30-39,Female,Married,4.0,Tertiary,Unemployed, 20001-30000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Education Jobs/Employment Healthcare Transportation/Infrastructure Crime and Safety Social Justice/Equality; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
40-49,Male,Married,5.0,Secondary,Unemployed, 20001-30000,No,I didn't have time,Likely,Slightly interested,0.0,Not specified,Education Healthcare Crime and Safety Transportation/Infrastructure; 1.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Student,60k+,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment Crime and Safety Transportation/Infrastructure Affordable Housing Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
20-29,Male,Single,0.0,Tertiary,Employed,10001-20000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Education Healthcare Affordable Housing Jobs/Employment Taxes Environment/Climate Change Transportation/Infrastructure Crime and Safety Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media Online News Websites Print Newspapers; 1.0; 1.0; 1.0; 1.0; 0.0
40-49,Female,Divorced,3.0,Tertiary,Employed, 20001-30000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment Crime and Safety Affordable Housing; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Print Newspapers Social Media Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
<20,Male,Single,0.0,Primary,Employed,Less than 10000,No,I didn't think my vote would make a difference,Not sure,Not at all Interested,0.0,Not specified,Jobs/Employment Affordable Housing Crime and Safety; 0.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media Radio; 0.0; 1.0; 0.0; 0.0; 1.0
20-29,Male,Married,1.0,Secondary,Unemployed,10001-20000,Yes,No reason provided,Very likely,Slightly interested,0.0,Not specified,Jobs/Employment Affordable Housing Healthcare Transportation/Infrastructure; 0.0; 1.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Online News Websites; 1.0; 0.0; 0.0; 1.0; 0.0
<20,Female,Single,0.0,Primary,Unemployed,Less than 10000,No,I didn't have time,Not sure,Not at all Interested,0.0,Not specified,Healthcare Jobs/Employment Crime and Safety Affordable Housing; 0.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Secondary,Employed,Less than 10000,No,I was not eligible to vote,Not sure,Not at all Interested,0.0,Not specified,Crime and Safety Affordable Housing Jobs/Employment Healthcare Education; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
<20,Female,Married,1.0,Secondary,Unemployed,Less than 10000,No,I was not eligible to vote,Likely,Slightly interested,0.0,Not specified,Healthcare Jobs/Employment; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Married,3.0,Secondary,Employed,10001-20000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Education Jobs/Employment; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
20-29,Male,Married,0.0,Tertiary,Self-employed,10001-20000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
30-39,Female,Single,0.0,Secondary,Employed,10001-20000,Yes,No reason provided,Not sure,Slightly interested,0.0,Not specified,Healthcare Education Affordable Housing Crime and Safety Jobs/Employment; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
<20,Female,Single,0.0,Secondary,Student,Less than 10000,No,I was not eligible to vote,Very likely,Slightly interested,0.0,Not specified,Education Healthcare Crime and Safety; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
30-39,Male,Single,0.0,Tertiary,Employed,60k+,Yes,No reason provided,Likely,Very Interested,0.0,Not specified,Crime and Safety Taxes Environment/Climate Change; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0,TV News Online News Websites Social Media; 1.0; 1.0; 0.0; 1.0; 0.0
20-29,Male,Single,0.0,Tertiary,Employed,60k+,Yes,No reason provided,Likely,Very Interested,0.0,Not specified,Jobs/Employment Environment/Climate Change Taxes; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0,Social Media Online News Websites; 0.0; 1.0; 0.0; 1.0; 0.0
50-59,Female,Married,2.0,Secondary,Self-employed, 40001-50000,No,I didn't have time,Likely,Interested,0.0,Not specified,Jobs/Employment Taxes Environment/Climate Change Crime and Safety; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
40-49,Male,Single,0.0,Secondary,Employed,10001-20000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Crime and Safety Taxes Environment/Climate Change Other ; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 1.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
<20,Female,Single,0.0,Tertiary,Student,10001-20000,No,I was not eligible to vote,Very likely,Very Interested,0.0,Not specified,Jobs/Employment Crime and Safety Environment/Climate Change; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0,Online News Websites Social Media; 0.0; 1.0; 0.0; 1.0; 0.0
30-39,Female,Married,2.0,Tertiary,Unemployed, 40001-50000,No,I didn't think my vote would make a difference,Likely,Interested,0.0,Not specified,Jobs/Employment Taxes Environment/Climate Change; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0,Social Media TV News; 1.0; 1.0; 0.0; 0.0; 0.0
60,Female,Married,6.0,Secondary,Unemployed,Less than 10000,No,I was not eligible to vote,Not sure,Slightly interested,0.0,Not specified,Social Justice/Equality Environment/Climate Change Transportation/Infrastructure Crime and Safety Affordable Housing; 0.0; 0.0; 0.0; 1.0; 1.0; 1.0; 1.0; 0.0; 1.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
20-29,Female,Single,0.0,Tertiary,Student,10001-20000,No,I was not eligible to vote,Likely,Very Interested,0.0,Not specified,Jobs/Employment Taxes Environment/Climate Change Social Justice/Equality; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 1.0; 1.0; 0.0,Social Media Online News Websites; 0.0; 1.0; 0.0; 1.0; 0.0
20-29,Male,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment Environment/Climate Change Transportation/Infrastructure Crime and Safety; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0,TV News Social Media Online News Websites Radio; 1.0; 1.0; 0.0; 1.0; 1.0
50-59,Female,Married,5.0,Tertiary,Self-employed,60k+,Yes,No reason provided,Likely,Very Interested,0.0,Not specified,Crime and Safety Taxes Environment/Climate Change; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0,TV News Online News Websites Print Newspapers; 1.0; 0.0; 1.0; 1.0; 0.0
40-49,Male,Married,3.0,Tertiary,Self-employed,60k+,No,I didn't have time,Very likely,Very Interested,0.0,Not specified,Environment/Climate Change Taxes Crime and Safety; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0,TV News Print Newspapers Radio; 1.0; 0.0; 1.0; 0.0; 1.0
30-39,Female,Divorced,4.0,Secondary,Unemployed,Less than 10000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Jobs/Employment Crime and Safety Taxes Environment/Climate Change; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0,Print Newspapers Radio; 0.0; 0.0; 1.0; 0.0; 1.0
30-39,Female,Married,2.0,Tertiary,Self-employed, 20001-30000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Healthcare Affordable Housing Jobs/Employment Crime and Safety; 0.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Print Newspapers Radio; 1.0; 1.0; 1.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Employed,60k+,Yes,No reason provided,Likely,Very Interested,0.0,Not specified,Crime and Safety Environment/Climate Change Taxes; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0,Online News Websites Social Media; 0.0; 1.0; 0.0; 1.0; 0.0
40-49,Male,Married,4.0,Tertiary,Employed,60k+,No,Other,Very Unlikely,Slightly interested,0.0,Not specified,Crime and Safety Affordable Housing Jobs/Employment Taxes Environment/Climate Change; 0.0; 0.0; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0,Online News Websites Social Media TV News; 1.0; 1.0; 0.0; 1.0; 0.0
40-49,Male,Married,5.0,Tertiary,Self-employed,60k+,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Crime and Safety Environment/Climate Change Taxes; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0,TV News Print Newspapers; 1.0; 0.0; 1.0; 0.0; 0.0
50-59,Female,Widowed,3.0,Secondary,Self-employed, 20001-30000,Yes,No reason provided,Likely,Very Interested,0.0,Not specified,Crime and Safety Environment/Climate Change Taxes; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0,Radio Print Newspapers TV News; 1.0; 0.0; 1.0; 0.0; 1.0
30-39,Female,Married,2.0,Secondary,Employed, 20001-30000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Radio Social Media; 1.0; 1.0; 0.0; 0.0; 1.0
40-49,Female,Married,5.0,Primary,Self-employed,Less than 10000,No,I didn't have time,Very likely,Very Interested,0.0,Not specified,Other ; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0,Radio TV News; 1.0; 0.0; 0.0; 0.0; 1.0
30-39,Female,Married,0.0,Tertiary,Employed,10001-20000,No,I didn't think my vote would make a difference,Not sure,Not at all Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Print Newspapers Online News Websites; 1.0; 1.0; 1.0; 1.0; 0.0
20-29,Female,Married,1.0,Tertiary,Unemployed,Less than 10000,No,I was not eligible to vote,Very Unlikely,Not at all Interested,0.0,Not specified,Jobs/Employment Crime and Safety Environment/Climate Change; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Secondary,Student,Less than 10000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Education Jobs/Employment Affordable Housing Healthcare Transportation/Infrastructure Crime and Safety; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
60,Male,Married,5.0,Primary,Self-employed,10001-20000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Healthcare Taxes Affordable Housing; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
30-39,Male,Married,3.0,Tertiary,Self-employed,10001-20000,No,I didn't have time,Likely,Slightly interested,0.0,Not specified,Social Justice/Equality Transportation/Infrastructure Other ; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; 1.0,Social Media TV News; 1.0; 1.0; 0.0; 0.0; 0.0
20-29,Female,Single,0.0,Tertiary,Student,Less than 10000,No,I didn't like the candidates,Not sure,Slightly interested,0.0,Not specified,Jobs/Employment Environment/Climate Change; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Tertiary,Student,Less than 10000,No,I didn't like the candidates,Not sure,Slightly interested,0.0,Not specified,Affordable Housing Transportation/Infrastructure; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,Social Media TV News; 1.0; 1.0; 0.0; 0.0; 0.0
20-29,Female,Single,0.0,Tertiary,Student,10001-20000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Education Jobs/Employment Affordable Housing; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Student,10001-20000,Yes,No reason provided,Likely,Not at all Interested,0.0,Not specified,Healthcare Jobs/Employment Crime and Safety; 0.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media TV News Radio; 1.0; 1.0; 0.0; 0.0; 1.0
20-29,Female,Single,0.0,Tertiary,Student,10001-20000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Education Healthcare Affordable Housing; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
30-39,Male,Single,0.0,Tertiary,Employed,60k+,Yes,No reason provided,Likely,Interested,0.0,Not specified,Jobs/Employment Affordable Housing Crime and Safety; 0.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media Online News Websites; 0.0; 1.0; 0.0; 1.0; 0.0
20-29,Female,Single,0.0,Tertiary,Student,10001-20000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Jobs/Employment Transportation/Infrastructure; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Tertiary,Student,10001-20000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Jobs/Employment Affordable Housing Crime and Safety; 0.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media TV News; 1.0; 1.0; 0.0; 0.0; 0.0
20-29,Female,Single,0.0,Tertiary,Student,10001-20000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Healthcare Jobs/Employment Education Crime and Safety; 1.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
30-39,Male,Married,1.0,Tertiary,Employed,10001-20000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Social Justice/Equality Transportation/Infrastructure Crime and Safety Healthcare Jobs/Employment; 0.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0,Radio Social Media; 0.0; 1.0; 0.0; 0.0; 1.0
20-29,Female,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Jobs/Employment Transportation/Infrastructure Crime and Safety; 0.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0,Social Media TV News Radio; 1.0; 1.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Employed, 20001-30000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Jobs/Employment Affordable Housing Crime and Safety; 0.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
30-39,Male,Married,0.0,Secondary,Employed, 40001-50000,No,I was not eligible to vote,Not sure,Interested,0.0,Not specified,Healthcare Crime and Safety Affordable Housing; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
60,Male,Married,5.0,Tertiary,Unemployed,60k+,Yes,No reason provided,Likely,Very Interested,0.0,Not specified,Social Justice/Equality Environment/Climate Change Transportation/Infrastructure Education Healthcare; 1.0; 1.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0; 1.0; 0.0,TV News Radio Print Newspapers; 1.0; 0.0; 1.0; 0.0; 1.0
20-29,Female,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Jobs/Employment Healthcare Affordable Housing; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media TV News; 1.0; 1.0; 0.0; 0.0; 0.0
